index,smiles
0,CC(=O)OCC[N+](C)(C)C
1,C[N+](C)(C)CC(=O)[O-]
2,O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl
3,O=C(O)c1ccccc1O
4,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1
5,OCC(O)C(O)C(O)C(O)CO
6,NCCCCCC(=O)O
7,CS(C)=O
8,NCCc1ccc(O)c(O)c1
9,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl
10,OC1C(O)C(O)C(O)C(O)C1O
11,O=C(O)c1cccnc1
12,Nc1ccc(C(=O)O)cc1
13,CC(C)(CO)C(O)C(=O)NCCC(=O)O
14,NC(=O)c1cnccn1
15,Cc1ncc(CO)c(CO)c1O
16,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1
17,Cc1ccc2cc3c(ccc4ccccc43)c3c2c1CC3
18,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1
19,Oc1cccc2cccnc12
20,Nc1c2c(nc3ccccc13)CCCC2
21,CC(=O)Nc1nnc(S(N)(=O)=O)s1
22,CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1
23,Cc1c2oc3c(C)ccc(C(=O)NC4C(=O)NC(C(C)C)C(=O)N5CCCC5C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC4C)c3nc-2c(C(=O)NC2C(=O)NC(C(C)C)C(=O)N3CCCC3C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC2C)c(N)c1=O
24,CCCSc1ccc2nc(NC(=O)OC)[nH]c2c1
25,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1
26,NCCCC(O)(P(=O)(O)O)P(=O)(O)O
27,O=c1ncnc2[nH][nH]cc1-2
28,NC12CC3CC(CC(C3)C1)C2
29,CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I
30,NCCCNCCSP(=O)(O)O
31,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O
32,CN(C)CCC=C1c2ccccc2CCc2ccccc21
33,CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O
34,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12
35,CC(=O)Oc1ccccc1C(=O)O
36,COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1
37,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1
38,Cn1cnc([N+](=O)[O-])c1Sc1ncnc2nc[nH]c12
39,O=C(O)COc1nn(Cc2ccccc2)c2ccccc12
40,CCc1oc2ccccc2c1C(=O)c1cc(Br)c(O)c(Br)c1
41,CC(Cc1ccccc1)N(C)Cc1ccccc1
42,CC(C[N+](C)(C)C)OC(N)=O
43,OC(CCN1CCCCC1)(c1ccccc1)C1CC2C=CC1C2
44,Oc1c(Cl)cc(Cl)cc1Sc1cc(Cl)cc(Cl)c1O
45,CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1
46,CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C
47,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1
48,CS(=O)(=O)OCCCCOS(C)(=O)=O
49,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC
50,NC(=O)N1c2ccccc2C=Cc2ccccc21
51,CCN(CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1
52,CN(C)CCOC(c1ccc(Cl)cc1)c1ccccn1
53,CCCC(C)(COC(N)=O)COC(=O)NC(C)C
54,CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(N)c3ccc(O)cc3)C2SC1
55,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1
56,OC(O)C(Cl)(Cl)Cl
57,CN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1
58,CN1C(=O)CCS(=O)(=O)C1c1ccc(Cl)cc1
59,CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1
60,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1
61,O=c1[nH]c2cc(Cl)ccc2o1
62,Cc1cc(C2CCCCC2)n(O)c(=O)c1
63,O=C1CCc2cc(OCCCCc3nnnn3C3CCCCC3)ccc2N1
64,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O
65,Clc1cccc(Cl)c1NC1=NCCN1
66,CN1CCN(C2=c3ccccc3=Nc3ccc(Cl)cc3N2)CC1
67,CC(=O)Oc1ccc(C(=C2CCCCC2)c2ccc(OC(C)=O)cc2)cc1
68,CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1
69,O=C1CN(N=Cc2ccc(-c3ccc([N+](=O)[O-])cc3)o2)C(=O)N1
70,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1
71,CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN
72,CNCCCN1c2ccccc2CCc2ccccc21
73,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl
74,CCN(CC)CCOC(=O)C1(C2CCCCC2)CCCCC1
75,O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O
76,OCC(S)CS
77,CN(C)CCOC(c1ccccc1)c1ccccc1
78,OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1
79,CCN(CC)C(=S)SSC(=S)N(CC)CC
80,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2
81,CN(C)CCOC(C)(c1ccccc1)c1ccccn1
82,O=C(CCCN1CC=C(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1
83,CC[N+](C)(C)c1cccc(O)c1
84,CC(O)(P(=O)(O)O)P(=O)(O)O
85,CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3
86,N#CC(C#N)=NNc1ccc(OC(F)(F)F)cc1
87,CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1
88,CC(C(=O)O)c1cccc(Oc2ccccc2)c1
89,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1
90,CC(C)(C(=O)O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1
91,O=C(COc1ccc(Cl)cc1)N1CCN(Cc2ccc3c(c2)OCO3)CC1
92,Cc1c(-c2ccccc2)oc2c(C(=O)OCCN3CCCCC3)cccc2c1=O
93,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F
94,Nc1[nH]c(=O)ncc1F
95,O=c1[nH]cc(F)c(=O)[nH]1
96,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1
97,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1
98,CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1
99,COCCCCC(=NOCCN)c1ccc(C(F)(F)F)cc1
100,O=C1OCCN1N=Cc1ccc([N+](=O)[O-])o1
101,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl
102,NCC1(CC(=O)O)CCCCC1
103,CNC(C)C1CCC(N)C(OC2C(N)CC(N)C(OC3OCC(C)(O)C(NC)C3O)C2O)O1
104,O=C(OCC(O)CO)c1ccccc1Nc1ccnc2cc(Cl)ccc12
105,COc1ccccc1OCC(O)CO
106,NC(N)=NCCN1CCCCCCC1
107,CCCCCCc1ccc(O)cc1O
108,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O
109,OCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1
110,NNCCc1ccccc1
111,CCN(CC)CC(=O)Nc1c(C)cccc1C
112,Nc1cc(-c2ccncc2)c[nH]c1=O
