smiles,assay_name,assay_value,toxicity_category,source
CCOc1ccc2nc(S(N)(=O)=O)sc2c1,NR-AR,0.0,endocrine_disruption,tox21
CCOc1ccc2nc(S(N)(=O)=O)sc2c1,NR-AR-LBD,0.0,endocrine_disruption,tox21
CCOc1ccc2nc(S(N)(=O)=O)sc2c1,NR-AhR,1.0,immunotoxicity,tox21
CCOc1ccc2nc(S(N)(=O)=O)sc2c1,NR-ER-LBD,0.0,endocrine_disruption,tox21
CCOc1ccc2nc(S(N)(=O)=O)sc2c1,NR-PPAR-gamma,0.0,endocrine_disruption,tox21
CCOc1ccc2nc(S(N)(=O)=O)sc2c1,SR-ARE,1.0,oxidative_stress,tox21
CCOc1ccc2nc(S(N)(=O)=O)sc2c1,SR-ATAD5,0.0,genotoxicity,tox21
CCOc1ccc2nc(S(N)(=O)=O)sc2c1,SR-HSE,0.0,oxidative_stress,tox21
CCOc1ccc2nc(S(N)(=O)=O)sc2c1,SR-MMP,0.0,acute_toxicity,tox21
CCOc1ccc2nc(S(N)(=O)=O)sc2c1,SR-p53,0.0,genotoxicity,tox21
CCN1C(=O)NC(c2ccccc2)C1=O,NR-AR,0.0,endocrine_disruption,tox21
CCN1C(=O)NC(c2ccccc2)C1=O,NR-AR-LBD,0.0,endocrine_disruption,tox21
CCN1C(=O)NC(c2ccccc2)C1=O,NR-AhR,0.0,immunotoxicity,tox21
CCN1C(=O)NC(c2ccccc2)C1=O,NR-Aromatase,0.0,endocrine_disruption,tox21
CCN1C(=O)NC(c2ccccc2)C1=O,NR-ER,0.0,endocrine_disruption,tox21
CCN1C(=O)NC(c2ccccc2)C1=O,NR-ER-LBD,0.0,endocrine_disruption,tox21
CCN1C(=O)NC(c2ccccc2)C1=O,NR-PPAR-gamma,0.0,endocrine_disruption,tox21
CCN1C(=O)NC(c2ccccc2)C1=O,SR-ATAD5,0.0,genotoxicity,tox21
CCN1C(=O)NC(c2ccccc2)C1=O,SR-MMP,0.0,acute_toxicity,tox21
CCN1C(=O)NC(c2ccccc2)C1=O,SR-p53,0.0,genotoxicity,tox21
CC[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3CC[C@@]21C,SR-ARE,0.0,oxidative_stress,tox21
CC[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3CC[C@@]21C,SR-HSE,0.0,oxidative_stress,tox21
CCCN(CC)C(CC)C(=O)Nc1c(C)cccc1C,NR-AR,0.0,endocrine_disruption,tox21
CCCN(CC)C(CC)C(=O)Nc1c(C)cccc1C,NR-AR-LBD,0.0,endocrine_disruption,tox21
CCCN(CC)C(CC)C(=O)Nc1c(C)cccc1C,NR-AhR,0.0,immunotoxicity,tox21
CCCN(CC)C(CC)C(=O)Nc1c(C)cccc1C,NR-Aromatase,0.0,endocrine_disruption,tox21
CCCN(CC)C(CC)C(=O)Nc1c(C)cccc1C,NR-ER,0.0,endocrine_disruption,tox21
CCCN(CC)C(CC)C(=O)Nc1c(C)cccc1C,NR-ER-LBD,0.0,endocrine_disruption,tox21
CCCN(CC)C(CC)C(=O)Nc1c(C)cccc1C,NR-PPAR-gamma,0.0,endocrine_disruption,tox21
CCCN(CC)C(CC)C(=O)Nc1c(C)cccc1C,SR-ATAD5,0.0,genotoxicity,tox21
CCCN(CC)C(CC)C(=O)Nc1c(C)cccc1C,SR-MMP,0.0,acute_toxicity,tox21
CCCN(CC)C(CC)C(=O)Nc1c(C)cccc1C,SR-p53,0.0,genotoxicity,tox21
CC(O)(P(=O)(O)O)P(=O)(O)O,NR-AR,0.0,endocrine_disruption,tox21
CC(O)(P(=O)(O)O)P(=O)(O)O,NR-AR-LBD,0.0,endocrine_disruption,tox21
CC(O)(P(=O)(O)O)P(=O)(O)O,NR-Aromatase,0.0,endocrine_disruption,tox21
CC(O)(P(=O)(O)O)P(=O)(O)O,NR-ER,0.0,endocrine_disruption,tox21
CC(O)(P(=O)(O)O)P(=O)(O)O,NR-ER-LBD,0.0,endocrine_disruption,tox21
CC(O)(P(=O)(O)O)P(=O)(O)O,NR-PPAR-gamma,0.0,endocrine_disruption,tox21
CC(O)(P(=O)(O)O)P(=O)(O)O,SR-ARE,0.0,oxidative_stress,tox21
CC(O)(P(=O)(O)O)P(=O)(O)O,SR-ATAD5,0.0,genotoxicity,tox21
CC(O)(P(=O)(O)O)P(=O)(O)O,SR-HSE,0.0,oxidative_stress,tox21
CC(O)(P(=O)(O)O)P(=O)(O)O,SR-p53,0.0,genotoxicity,tox21
CC(C)(C)OOC(C)(C)CCC(C)(C)OOC(C)(C)C,NR-AR,0.0,endocrine_disruption,tox21
CC(C)(C)OOC(C)(C)CCC(C)(C)OOC(C)(C)C,NR-AR-LBD,0.0,endocrine_disruption,tox21
CC(C)(C)OOC(C)(C)CCC(C)(C)OOC(C)(C)C,NR-AhR,0.0,immunotoxicity,tox21
CC(C)(C)OOC(C)(C)CCC(C)(C)OOC(C)(C)C,NR-Aromatase,0.0,endocrine_disruption,tox21
CC(C)(C)OOC(C)(C)CCC(C)(C)OOC(C)(C)C,NR-ER,0.0,endocrine_disruption,tox21
CC(C)(C)OOC(C)(C)CCC(C)(C)OOC(C)(C)C,NR-ER-LBD,0.0,endocrine_disruption,tox21
CC(C)(C)OOC(C)(C)CCC(C)(C)OOC(C)(C)C,NR-PPAR-gamma,0.0,endocrine_disruption,tox21
CC(C)(C)OOC(C)(C)CCC(C)(C)OOC(C)(C)C,SR-ATAD5,0.0,genotoxicity,tox21
CC(C)(C)OOC(C)(C)CCC(C)(C)OOC(C)(C)C,SR-HSE,0.0,oxidative_stress,tox21
CC(C)(C)OOC(C)(C)CCC(C)(C)OOC(C)(C)C,SR-MMP,0.0,acute_toxicity,tox21
CC(C)(C)OOC(C)(C)CCC(C)(C)OOC(C)(C)C,SR-p53,0.0,genotoxicity,tox21
O=S(=O)(Cl)c1ccccc1,NR-AR,0.0,endocrine_disruption,tox21
O=S(=O)(Cl)c1ccccc1,NR-AR-LBD,0.0,endocrine_disruption,tox21
O=S(=O)(Cl)c1ccccc1,NR-AhR,0.0,immunotoxicity,tox21
O=S(=O)(Cl)c1ccccc1,NR-Aromatase,0.0,endocrine_disruption,tox21
O=S(=O)(Cl)c1ccccc1,NR-ER,0.0,endocrine_disruption,tox21
O=S(=O)(Cl)c1ccccc1,NR-ER-LBD,0.0,endocrine_disruption,tox21
O=S(=O)(Cl)c1ccccc1,NR-PPAR-gamma,0.0,endocrine_disruption,tox21
O=S(=O)(Cl)c1ccccc1,SR-ARE,0.0,oxidative_stress,tox21
O=S(=O)(Cl)c1ccccc1,SR-ATAD5,0.0,genotoxicity,tox21
O=S(=O)(Cl)c1ccccc1,SR-HSE,0.0,oxidative_stress,tox21
O=S(=O)(Cl)c1ccccc1,SR-MMP,0.0,acute_toxicity,tox21
O=S(=O)(Cl)c1ccccc1,SR-p53,0.0,genotoxicity,tox21
O=C(O)Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1,NR-AR,0.0,endocrine_disruption,tox21
O=C(O)Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1,NR-AhR,0.0,immunotoxicity,tox21
O=C(O)Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1,NR-ER,1.0,endocrine_disruption,tox21
O=C(O)Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1,SR-ARE,1.0,oxidative_stress,tox21
O=C(O)Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1,SR-ATAD5,0.0,genotoxicity,tox21
O=C(O)Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1,SR-HSE,1.0,oxidative_stress,tox21
O=C(O)Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1,SR-MMP,0.0,acute_toxicity,tox21
O=C(O)Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1,SR-p53,1.0,genotoxicity,tox21
OC[C@@H](O)[C@H](O)[C@@H](O)CO,NR-AR,0.0,endocrine_disruption,tox21
OC[C@@H](O)[C@H](O)[C@@H](O)CO,NR-AR-LBD,0.0,endocrine_disruption,tox21
OC[C@@H](O)[C@H](O)[C@@H](O)CO,NR-AhR,0.0,immunotoxicity,tox21
OC[C@@H](O)[C@H](O)[C@@H](O)CO,NR-Aromatase,0.0,endocrine_disruption,tox21
OC[C@@H](O)[C@H](O)[C@@H](O)CO,NR-ER,0.0,endocrine_disruption,tox21
OC[C@@H](O)[C@H](O)[C@@H](O)CO,NR-ER-LBD,0.0,endocrine_disruption,tox21
OC[C@@H](O)[C@H](O)[C@@H](O)CO,NR-PPAR-gamma,0.0,endocrine_disruption,tox21
OC[C@@H](O)[C@H](O)[C@@H](O)CO,SR-ARE,0.0,oxidative_stress,tox21
OC[C@@H](O)[C@H](O)[C@@H](O)CO,SR-ATAD5,0.0,genotoxicity,tox21
OC[C@@H](O)[C@H](O)[C@@H](O)CO,SR-HSE,0.0,oxidative_stress,tox21
OC[C@@H](O)[C@H](O)[C@@H](O)CO,SR-p53,0.0,genotoxicity,tox21
CCCCCCCC(=O)[O-],SR-ARE,0.0,oxidative_stress,tox21
CCCCCCCC(=O)[O-],SR-HSE,0.0,oxidative_stress,tox21
NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,NR-AR,0.0,endocrine_disruption,tox21
NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,NR-AR-LBD,0.0,endocrine_disruption,tox21
