SMILES,Y_ld50_zhu,source
[O-][N+](=Nc1ccccc1)c1ccccc1,2.505,tdc
BrC(Br)Br,2.343,tdc
C=CBr,2.33,tdc
Brc1ccc(-c2ccc(Br)c(Br)c2Br)c(Br)c1Br,1.465,tdc
S=C=Nc1ccc(Br)cc1,2.729,tdc
O=c1[nH]c2ccc(Br)cc2o1,2.33,tdc
Brc1ccccc1,1.765,tdc
O=C1CN=C(c2ccccn2)c2cc(Br)ccc2N1,2.21,tdc
Brc1nc(Br)c(Br)[nH]1,3.952,tdc
BrCBr,3.207,tdc
O=P(OCC(Br)CBr)(OCC(Br)CBr)OCC(Br)CBr,2.839,tdc
BrCC=CCBr,3.455,tdc
BrCCBr,3.24,tdc
O=C(CCBr)N1CCN(C(=O)CCBr)CC1,3.209,tdc
C#CCCCC#C,1.6030000000000002,tdc
C#CCOCC#C,2.242,tdc
C(CC1CO1)OCCC1CO1,2.17,tdc
C(CCC1CO1)CC1CO1,2.124,tdc
c1ccc(COCc2ccccc2)cc1,1.899,tdc
C(OCC1CO1)C1CO1,2.461,tdc
C[Si](C)(C)OP(=O)(O[Si](C)(C)C)O[Si](C)(C)C,1.961,tdc
C[Si](Cl)(Cl)CCCC#N,1.809,tdc
C=C1CC(=O)N(c2cccc([N+](=O)[O-])c2)C1=O,1.968,tdc
C=C1CC(=O)O1,2.176,tdc
C=CC#N,2.833,tdc
C=CC(=O)NCNC(=O)C=C,2.597,tdc
C=CC(=O)OC1CC2CCC1C2,1.4680000000000002,tdc
C=CC(=O)OCC1CO1,2.785,tdc
C=CC(=O)OCCC#N,2.842,tdc
C=CC(=O)OCCOC(=O)C=C,2.754,tdc
C=CC(=O)OCCOc1ccccc1,1.569,tdc
C=CC(=O)OCCOCCC#N,2.1790000000000003,tdc
C=CC(=O)OCCOCCOC(=O)C=C,2.729,tdc
C=CC=C,0.994,tdc
C=CC=CC=C,2.582,tdc
C=CC=NNc1ccccc1,2.32,tdc
C=CC=O,3.0860000000000003,tdc
C=Cc1ccccc1,1.319,tdc
C=Cc1ccccn1,3.022,tdc
C=Cc1ccncc1,3.022,tdc
C=CC1CC2C=CC1C2,1.44,tdc
C=CC1CCC(C=C)OC1,1.75,tdc
C=CC1CC=CCC1,1.625,tdc
C=CC1CCC2OC2C1,1.793,tdc
C=CC1OCC2(CO1)COC(C=C)OC2,1.7180000000000002,tdc
C=CCC#N,2.766,tdc
C=CCc1ccc2c(c1)OCO2,1.92,tdc
C=CCc1cccc(CC=C)c1OCC1CO1,1.71,tdc
C=CCC1CC(=O)OC1=O,2.117,tdc
C=CCCC=O,2.132,tdc
C=CCN(CC=C)CC=C,2.125,tdc
C=CCN(CC=C)N=O,2.198,tdc
C=CCN=C=S,2.947,tdc
C=CCNCC=C,2.226,tdc
C=CCOC(=O)C=CC(=O)OCC=C,2.8160000000000003,tdc
C=CCOC(=O)c1ccccc1C(=O)OCC=C,2.505,tdc
C=CCOC(=O)Cc1ccccc1,2.4330000000000003,tdc
C=CCOC(=O)CC1CCCCC1,2.306,tdc
C=CCOC(=O)CCC1CCCCC1,2.526,tdc
C=CCOC(OCC=C)C(OCC=C)OCC=C,2.256,tdc
C=CCOC=C,2.185,tdc
C=CCOC=O,2.842,tdc
C=CCOc1ccccc1C(=O)NC1CCCCC1,2.335,tdc
C=CCOC1CC2CC1CC2OCC=C,1.747,tdc
C=CCOCC=C,2.487,tdc
C=CCOCCC#N,1.932,tdc
C=CN1CC1,2.895,tdc
C=CN1CCCC1=O,1.879,tdc
C=COC(=O)c1ccccc1,1.659,tdc
C=COC=O,1.4069999999999998,tdc
C=COCCOCCOC=C,1.6269999999999998,tdc
C=CS(=O)(=O)C=C,3.567,tdc
C=O,1.574,tdc
c1cc(-c2ccncc2)ccn1,2.958,tdc
