InChIKey,SMILES,Reproductive_target
QIGBRXMKCJKVMJ-UHFFFAOYSA-N,Oc1ccc(O)cc1,1
VYGQUTWHTHXGQB-FFHKNEKCSA-N,CCCCCCCCCCCCCCCC(=O)OC/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C,1
NOPFSRXAKWQILS-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCCCCCCO,1
OENHQHLEOONYIE-JLTXGRSLSA-N,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C)CCCC2(C)C)C(C)(C)CCC1,1
BRLQWZUYTZBJKN-UHFFFAOYSA-N,ClCC1CO1,1
AUZONCFQVSMFAP-UHFFFAOYSA-N,CCN(CC)C(=S)SSC(=S)N(CC)CC,1
LRBQNJMCXXYXIU-PPKXGCFTSA-N,O=C(OC[C@H]1O[C@@H](OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)[C@H](OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)[C@@H](OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)[C@@H]1OC(=O)c1cc(O)c(O)c(OC(=O)c2cc(O)c(O)c(O)c2)c1)c1cc(O)c(O)c(OC(=O)c2cc(O)c(O)c(O)c2)c1,1
ZNQVEEAIQZEUHB-UHFFFAOYSA-N,CCOCCO,0
MXWJVTOOROXGIU-UHFFFAOYSA-N,CCNc1nc(Cl)nc(NC(C)C)n1,1
NLZUEZXRPGMBCV-UHFFFAOYSA-N,Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,1
JBKVHLHDHHXQEQ-UHFFFAOYSA-N,O=C1CCCCCN1,1
TWFZGCMQGLPBSX-UHFFFAOYSA-N,COC(=O)Nc1nc2ccccc2[nH]1,1
IPKKHRVROFYTEK-UHFFFAOYSA-N,CCCCCOC(=O)c1ccccc1C(=O)OCCCCC,1
RFFLAFLAYFXFSW-UHFFFAOYSA-N,Clc1ccccc1Cl,1
VILCJCGEZXAXTO-UHFFFAOYSA-N,NCCNCCNCCN,1
MMOXZBCLCQITDF-UHFFFAOYSA-N,CCN(CC)C(=O)c1cccc(C)c1,1
ZUOUZKKEUPVFJK-UHFFFAOYSA-N,c1ccc(-c2ccccc2)cc1,1
RDHPKYGYEGBMSE-UHFFFAOYSA-N,CCBr,1
PAAZPARNPHGIKF-UHFFFAOYSA-N,BrCCBr,1
COLNVLDHVKWLRT-UHFFFAOYSA-N,NC(Cc1ccccc1)C(=O)O,1
VZGDMQKNWNREIO-UHFFFAOYSA-N,ClC(Cl)(Cl)Cl,1
LGXVIGDEPROXKC-UHFFFAOYSA-N,C=C(Cl)Cl,1
VVQNEPGJFQJSBK-UHFFFAOYSA-N,C=C(C)C(=O)OC,1
SXRSQZLOMIGNAQ-UHFFFAOYSA-N,O=CCCCC=O,1
LHGVFZTZFXWLCP-UHFFFAOYSA-N,COc1ccccc1O,1
KUAZQDVKQLNFPE-UHFFFAOYSA-N,CN(C)C(=S)SSC(=S)N(C)C,1
CIWBSHSKHKDKBQ-JLAZNSOCSA-N,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,1
GUBGYTABKSRVRQ-DCSYEGIMSA-N,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,1
ALYNCZNDIQEVRV-UHFFFAOYSA-N,Nc1ccc(C(=O)O)cc1,0
BJQHLKABXJIVAM-UHFFFAOYSA-N,CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,1
LYCAIKOWRPUZTN-UHFFFAOYSA-N,OCCO,1
FMMWHPNWAFZXNH-UHFFFAOYSA-N,c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,1
OTLNPYWUJOZPPA-UHFFFAOYSA-N,O=C(O)c1ccc([N+](=O)[O-])cc1,1
UMGDCJDMYOKAJW-UHFFFAOYSA-N,NC(N)=S,1
OEBRKCOSUFCWJD-UHFFFAOYSA-N,COP(=O)(OC)OC=C(Cl)Cl,0
VHHHONWQHHHLTI-UHFFFAOYSA-N,ClC(Cl)(Cl)C(Cl)(Cl)Cl,1
NEHMKBQYUWJMIP-UHFFFAOYSA-N,CCl,1
BZHJMEDXRYGGRV-UHFFFAOYSA-N,C=CCl,1
QGJOPFRUJISHPQ-UHFFFAOYSA-N,S=C=S,1
RHQDFWAXVIIEBN-UHFFFAOYSA-N,OCC(F)(F)F,1
AJDIZQLSFPQPEY-UHFFFAOYSA-N,FC(F)(Cl)C(F)(Cl)Cl,1
VUNCWTMEJYMOOR-UHFFFAOYSA-N,ClC1=C(Cl)C(Cl)(Cl)C(Cl)=C1Cl,1
BTANRVKWQNVYAZ-UHFFFAOYSA-N,CCC(C)O,1
